Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
23/058,2023-05-25,3,14,18,26,40,43,15,14,,2,4,1,2,1,1,1,0,0,0,0,54.5,155090,176.5,9600,4073.5,640,5267.9,320,81233.2,40,60107941
23/057,2023-05-23,4,14,15,37,41,49,38,,,4,2,1,2,0,1,2,0,0,1.5,1851290,75.5,98080,157.5,9600,3902,640,4939.9,320,71940.5,40,53354696
23/056,2023-05-20,1,19,22,26,46,47,39,47,,3,3,1,1,2,0,2,0,0,4,553970,54,109420,99.5,9600,2862,640,3601.5,320,58700.4,40,41705550
23/055,2023-05-18,5,6,12,16,41,47,7,,,3,3,2,2,0,0,2,0,0,2,883920,33,142850,179.5,9600,3313.7,640,6304.9,320,64500.9,40,39616432
23/054,2023-05-16,2,18,27,31,32,46,44,,,2,4,1,1,1,2,1,0,0,1,1770210,41,115130,142.5,9600,2736.2,640,3201,320,54037,40,35691798
23/053,2023-05-14,1,4,9,35,37,48,43,,,4,2,3,0,0,2,1,1,22308760,0,0,64,103200,146,9600,3976,640,3965.5,320,80893.7,40,49254796
23/052,2023-05-11,17,18,28,30,32,33,1,32,,2,4,0,2,2,2,0,0,0,0.5,1721620,126.5,36290,228.5,9600,4787.5,640,5592.2,320,76116,40,42045167
23/051,2023-05-09,7,10,22,25,32,35,27,25,,3,3,2,0,2,2,0,0,0,0.5,1704050,74.2,61240,160.2,9600,3365.4,640,4524,320,62588.1,40,37272020
23/050,2023-05-06,1,5,14,15,21,25,31,,,5,1,2,2,2,0,0,1,12530890,1.5,1006860,104,38720,199,9600,4941.9,640,5353.4,320,74928.5,40,38607230
23/049,2023-05-04,2,10,28,37,47,49,7,"10,49",,3,3,2,0,1,1,2,0,0,2,864820,45.5,101370,143.5,9600,2397.5,640,5301.9,320,47635.7,40,35528511
23/048,2023-05-02,4,10,20,32,38,49,7,,,1,5,2,1,0,2,1,1,8000000,2,882100,57.5,81810,133,9600,2837.7,640,4828.7,320,59315.8,40,36917434
23/047,2023-04-29,7,8,17,19,27,40,2,8,,4,2,2,2,1,1,0,1,8000000,4.5,220070,79.5,33210,318.7,9600,4483.2,640,7122.2,320,69747.6,40,33588472
23/046,2023-04-27,8,12,21,43,44,49,27,43,,3,3,1,1,1,0,3,1,15042030,2,1008080,41.5,129550,149,9600,3314.5,640,4700,320,64691.4,40,41507112
23/045,2023-04-25,20,26,38,43,46,47,35,,,2,4,0,1,1,1,3,0,0,0.5,1987020,49.5,107040,103.5,9600,2214.5,640,2940.7,320,46090.5,40,36578731
23/044,2023-04-22,2,6,7,9,17,19,26,,,4,2,4,2,0,0,0,2,7602480,9.5,39370,388.7,19200,537.5,9600,10388.3,640,8814.6,320,118678.5,40,45581152
23/043,2023-04-20,1,20,24,28,38,46,40,"20,28,46",20,1,5,1,1,2,1,1,0,0,2.5,811020,47,115030,154.5,9600,2832.3,640,4430.2,320,60891,40,40746484
23/042,2023-04-18,20,23,27,28,30,46,29,"20,23",,2,4,0,1,4,0,1,0,0,4.5,362550,52.5,82860,190.5,9600,2642,640,4506.8,320,51083.7,40,35106436
23/041,2023-04-16,10,12,18,20,23,36,6,36,,1,5,1,3,1,1,0,1,23293190,5,338530,193,23380,415.5,9600,8175.4,640,10156.3,320,118039.5,40,54802224
23/040,2023-04-13,9,14,15,32,36,48,25,,,2,4,1,2,0,2,1,0,0,0,0,68,82670,180.5,9600,3287.5,640,4910.5,320,60473.1,40,43095286
23/039,2023-04-11,12,23,29,40,42,43,20,,,3,3,0,1,2,1,2,0,0,0,0,28.5,166780,130.5,9600,2693.5,640,3967.2,320,54030.2,40,36048672
23/038,2023-04-08,1,13,17,18,33,36,22,36,,4,2,1,3,0,2,0,3.5,12168880,3,1399000,202.5,55260,555.4,9600,10348.2,640,14447.1,320,186137,40,101427219
23/037,2023-04-04,15,19,20,24,36,47,4,19,,3,3,0,3,1,1,1,0,0,2,1472330,71,110590,194.5,9600,3912.9,640,6484.2,320,74610.5,40,57413909
23/036,2023-04-01,8,9,12,19,21,40,24,"8,12",,3,3,2,2,1,1,0,0,0,2,855870,94.5,48300,278.7,9600,6173.7,640,7753.2,320,102326.5,40,47668512
23/035,2023-03-30,1,8,12,36,42,47,40,,,2,4,2,1,0,1,2,0,0,3.5,572830,86,62160,172,9600,3991.4,640,5085.5,320,79616.5,40,43899412
23/034,2023-03-28,9,10,16,41,44,46,39,,,2,4,2,1,0,0,3,0,0,0,0,39,134180,108.5,9600,2470.5,640,3393.4,320,50968.1,40,37267945
23/033,2023-03-25,11,15,18,26,31,37,10,,,4,2,0,3,1,2,0,1,15024910,3.5,501050,87.5,53440,199,9600,3616.4,640,5731.1,320,63745.5,40,39733832
23/032,2023-03-23,5,14,17,20,22,32,33,,,2,4,1,3,1,1,0,0,0,0,0,47.5,99020,135.5,9600,3280,640,4591.7,320,61137,40,37475203
23/031,2023-03-21,8,13,18,30,33,41,20,,,3,3,1,2,1,1,1,1.5,5333330,0,0,118,30920,211.5,9600,5758.1,640,5204.2,320,77515.4,40,37973034
23/030,2023-03-18,4,7,17,34,42,48,3,34,,2,4,2,1,0,1,2,1,48270680,2,1753790,110,85030,312.2,9600,5606.9,640,9059.8,320,109615.6,40,73270359
23/029,2023-03-16,18,21,28,30,34,40,14,18,,1,5,0,1,3,2,0,0,0,2,1553770,104,79680,191,9600,5937.1,640,6620.4,320,101840.9,40,64058233
23/028,2023-03-14,1,2,10,12,18,37,43,12,,2,4,3,2,0,1,0,0,0,2,1167030,155,40150,181,9600,7466.9,640,5050.5,320,120151.7,40,55626015
23/027,2023-03-12,11,12,13,20,35,43,44,,12,4,2,0,4,0,1,1,0,0,1,2478390,61.5,107460,176,9600,4805.3,640,5275,320,91890.1,40,52380284
23/026,2023-03-09,1,4,7,14,31,37,11,"4,37",,4,2,3,1,0,2,0,0.5,27975670,19,89910,182,25030,983.2,9600,6773.1,640,14431.6,320,100439,40,57942910
23/025,2023-03-07,4,11,12,26,37,40,7,26,,2,4,1,2,1,2,0,0,0,3.5,653350,78.2,77970,321.5,9600,4698,640,9908.2,320,86013.4,40,54550110
23/024,2023-03-04,1,9,15,26,42,44,25,,,3,3,2,1,1,0,2,0,0,2,1015520,44.5,121710,173,9600,2968.1,640,4725.4,320,61949.7,40,41536994
23/023,2023-03-02,14,17,19,32,39,46,36,,,3,3,0,3,0,2,1,0,0,0,0,55.5,91150,116.5,9600,2691,640,3343.5,320,50340.5,40,36708062
23/022,2023-02-28,8,13,29,33,40,42,3,,,3,3,1,1,1,2,1,1,41228280,9,320860,224,34370,443.5,9600,9619.2,640,11433.3,320,138521.4,40,75499361
23/021,2023-02-25,14,25,27,28,44,47,4,47,25,3,3,0,1,3,0,2,0,0,1,2690600,84.5,84910,287,9600,4396.7,640,6953.1,320,81498.2,40,56972900
23/020,2023-02-23,8,16,32,42,47,48,35,8,,1,5,1,1,0,1,3,0,0,0,0,69.5,97550,151,9600,4325,640,4649,320,72445.1,40,50424254
23/019,2023-02-21,8,19,29,30,33,41,4,,,4,2,1,1,2,1,1,0,0,2,1053860,66.5,84520,223,9600,4152,640,5166.7,320,77573,40,46288151
23/018,2023-02-18,4,12,20,28,34,49,43,,,1,5,1,2,1,1,1,0,0,1,1696540,126.5,35760,108.5,9600,3325.9,640,3717,320,58440.1,40,35418734
23/017,2023-02-16,8,9,13,22,38,39,11,"13,39",,3,3,2,1,1,2,0,2.5,5289720,1.5,1044860,128.5,35230,279.5,9600,5486.8,640,7966.9,320,85104.1,40,45531760
23/016,2023-02-14,3,13,19,32,33,39,24,13,,5,1,1,2,0,3,0,0,0,5.5,318500,94,49690,201,9600,4689.6,640,5232.8,320,73909.5,40,41472968
23/015,2023-02-11,13,18,22,29,34,41,23,"13,29",,3,3,0,2,2,1,1,1,31022110,3,927340,96.5,76870,301,9600,4474,640,8255.2,320,84580.3,40,59553612
23/014,2023-02-09,1,9,13,27,29,40,20,13,9,5,1,2,1,2,1,0,0,0,2,1203530,76.5,83900,251,9600,5626.1,640,7159.2,320,105208.1,40,55821802
23/013,2023-02-07,4,11,13,14,30,37,20,14,,3,3,1,3,1,1,0,0,0,0.5,2129950,100.5,56510,322.4,9600,5245.4,640,7638.7,320,91588.5,40,52155739
23/012,2023-02-04,14,18,25,29,31,42,6,,,3,3,0,2,2,1,1,0,0,1,1964580,52,100740,158.5,9600,2702.9,640,4476.1,320,51608.8,40,39149448
23/011,2023-02-02,2,8,23,33,34,35,43,2,2,3,3,2,0,1,3,0,1.5,56039410,12.5,584560,450,43300,1067,9600,20949.3,640,26837.5,320,344462.2,40,184349737
23/010,2023-01-28,2,12,16,38,45,46,14,2,,1,5,1,2,0,1,2,0,0,5.5,965930,124,114240,391,9600,8673.5,640,10899.9,320,167909.9,40,108202412
23/009,2023-01-26,2,3,23,31,32,43,40,,,4,2,2,0,1,2,1,0.5,92400130,9,1200000,504,57140,820,9600,22442.9,640,22869.2,320,374924.6,40,229021817
23/008,2023-01-19,17,25,27,29,36,49,23,29,,5,1,0,1,3,1,1,0,0,1.5,1413400,46,122900,191,9600,3246.2,640,4834.5,320,63327.6,40,43561547
23/007,2023-01-17,10,15,29,34,38,47,18,38,,3,3,1,1,1,2,1,0,0,1,2005750,48,111430,112.5,9600,2431.1,640,3882.2,320,48240,40,37966702
23/006,2023-01-14,3,5,16,26,35,38,9,26,,3,3,2,1,1,2,0,2,14321080,3,775770,86.2,71990,284,9600,4396.4,640,7817.4,320,80636.3,40,52439102
23/005,2023-01-12,6,22,26,27,40,45,13,,,2,4,1,0,3,1,1,0,0,3,791240,51,124110,205.5,9600,3624.7,640,5472.4,320,72549.8,40,48769832
23/004,2023-01-10,2,21,24,29,35,47,18,,,4,2,1,0,3,1,1,0,0,2.5,871860,39,149030,176,9600,3064.5,640,4447.9,320,59338.1,40,43363038
23/003,2023-01-07,10,31,33,34,43,49,40,"34,49",,4,2,1,0,0,3,2,0,0,1,1751100,45,103760,117,9600,2447,640,3153.2,320,47327.8,40,34111184
23/002,2023-01-05,5,9,19,34,36,49,23,,5,4,2,2,1,0,2,1,1,8000000,1.5,937550,74.5,50330,169,9600,3616.9,640,5091.8,320,63759.3,40,34110690
23/001,2023-01-03,7,20,25,27,35,43,1,,,5,1,1,1,2,1,1,1,86256300,2.5,3500840,273,85490,657.5,9600,13756.9,640,21098.7,320,268044.2,40,179088381
22/111,2022-12-29,1,2,21,33,41,45,4,45,,5,1,2,0,1,1,2,0,0,0,0,48,128350,134.5,9600,3287.7,640,4668,320,64162.4,40,45151430
22/110,2022-12-27,5,13,18,32,39,45,44,"18,39",,4,2,1,2,0,2,1,0,0,2,933370,47.5,104800,119.5,9600,2862.5,640,3699,320,55377.6,40,37136775
22/109,2022-12-25,2,7,11,14,18,39,29,18,,3,3,2,3,0,1,0,0,0,2,628060,88,38060,235.5,9600,4507.6,640,5367.7,320,73548.4,40,35199454
22/108,2022-12-22,16,18,19,33,41,46,37,41,,3,3,0,3,0,1,2,1,59781380,3,1377660,168,65600,418.5,9600,7526,640,9722.5,320,139581.1,40,88531446
22/107,2022-12-20,28,36,37,38,41,45,42,,,3,3,0,0,1,3,2,0,0,5.5,664970,116,84070,290,9600,5389.4,640,7520.4,320,101003.3,40,73099838
22/106,2022-12-17,6,14,15,26,35,40,8,26,,2,4,1,2,1,2,0,0,0,5.5,507560,67,111100,204.5,9600,3711.8,640,6073.1,320,71626.5,40,54811827
22/105,2022-12-15,5,7,18,26,31,45,30,45,,4,2,2,1,1,1,1,0,0,3,762460,68,89700,212.2,9600,4182,640,6128.4,320,79416.8,40,49275593
22/104,2022-12-13,12,38,39,40,45,49,10,"12,39,49",,3,3,0,1,0,3,2,0,0,1,2232500,64.5,92290,150,9600,3455.5,640,5073,320,66195.7,40,44959369
22/103,2022-12-10,6,12,20,25,39,49,7,39,,3,3,1,2,1,1,1,0,0,2,849940,54.5,83170,179.5,9600,3306.1,640,5702.2,320,64097.4,40,38298392
22/102,2022-12-08,17,19,35,39,44,46,21,"17,44,46",,4,2,0,2,0,2,2,0.5,18752260,2,1132040,56.5,106850,127,9600,2943,640,3764,320,56359,40,42867141
22/101,2022-12-06,6,11,17,30,44,46,5,,6,2,4,1,2,1,0,2,0,0,2,844930,54,83450,217.5,9600,3646.5,640,6108.4,320,68960.2,40,39842318
22/100,2022-12-03,2,15,31,34,38,41,21,,,3,3,1,1,0,3,1,0.5,13780810,1,1926930,56.5,90940,118.5,9600,2456.5,640,3887.2,320,45697.5,40,36848745
22/099,2022-12-01,14,18,27,32,39,42,43,18,,2,4,0,2,1,2,1,0,0,2,811800,47.2,91720,85,9600,2911.2,640,2823.7,320,51588.3,40,32483170
22/098,2022-11-29,12,18,22,28,31,40,7,28,,1,5,0,2,2,2,0,1,12879910,3.5,464750,86,50430,243.7,9600,4115.9,640,7299.6,320,69984.1,40,40788310
22/097,2022-11-26,14,25,28,29,43,44,10,"14,25,28",,3,3,0,1,3,0,2,0,0,1,1677580,40.5,110450,87.5,9600,1917.5,640,2995.9,320,39170.4,40,31264295
22/096,2022-11-24,3,12,14,19,25,28,11,,,3,3,1,3,2,0,0,1,19644220,3.5,401830,111,33780,395.9,9600,4874.9,640,9444.2,320,81561.9,40,43534602
22/095,2022-11-22,6,10,11,13,32,46,39,"6,11,46",,2,4,2,2,0,1,1,0,0,1,1926660,65,79040,130,9600,3887.7,640,5017.2,320,79834,40,41944030
22/094,2022-11-19,6,11,27,39,46,47,15,27,,4,2,1,1,1,1,2,0,0,0,0,44,99690,91,9600,2421.2,640,3112,320,51267,40,32445526
22/093,2022-11-17,1,9,27,32,33,35,45,32,,5,1,2,0,1,3,0,2,6965150,1,1482570,45.5,108610,137.5,9600,3533.4,640,4502,320,68944,40,39549034
22/092,2022-11-15,17,18,32,38,44,49,19,18,,2,4,0,2,0,2,2,0,0,1.5,1126410,47.5,94850,125.5,9600,2637,640,3679.5,320,48111.5,40,34023185
22/091,2022-11-13,5,12,18,19,26,33,46,"12,18",,3,3,1,3,1,1,0,1,19971910,1.5,1226720,325.2,19200,235,9600,6037.4,640,5419,320,94328.7,40,49216310
22/090,2022-11-10,11,12,14,18,29,30,31,,,2,4,0,4,2,0,0,0,0,4.5,343070,117.2,35120,256.5,9600,5345.7,640,5951.5,320,87719.3,40,41865200
22/089,2022-11-08,10,20,27,32,38,46,4,32,,1,5,1,1,1,2,1,0,0,0,0,60,80890,156.5,9600,3017.5,640,4310,320,55604.2,40,37724090
22/088,2022-11-05,7,11,22,23,28,32,29,,,3,3,1,1,3,1,0,1,19627440,4,343860,176.5,20780,329.7,9600,8286.3,640,8117.3,320,117400.9,40,46650854
22/087,2022-11-03,10,13,19,21,27,49,35,,,5,1,1,2,2,0,1,0,0,1.5,1253510,51.5,97360,137.5,9600,3311.2,640,3999.6,320,68330.1,40,39309446
22/086,2022-11-01,2,12,14,32,41,46,20,12,,1,5,1,2,0,1,2,0,0,0,0,34,145900,124,9600,2358.9,640,3907.7,320,49078.8,40,36189124
22/085,2022-10-29,4,5,12,15,28,29,20,28,29,3,3,2,2,2,0,0,1,52210140,12,394720,346.5,36450,681.5,9600,14468,640,16938.3,320,223441.9,40,120113059
22/084,2022-10-25,27,28,30,34,35,48,11,,,2,4,0,0,3,2,1,0.5,67977820,2.5,2016580,172.5,77930,390,9600,8486.7,640,13116.4,320,159070.3,40,104943367
22/083,2022-10-22,12,15,16,42,44,45,4,,,2,4,0,3,0,0,3,0,0,0.5,3814730,86,118280,231.5,9600,4904,640,7787.9,320,96827,40,73468382
22/082,2022-10-20,20,24,27,31,32,49,36,,20,3,3,0,1,2,2,1,0,0,2,1552920,74,111920,211.5,9600,4616.2,640,6295.7,320,90227.6,40,61781365
22/081,2022-10-18,7,25,26,39,44,45,46,"25,44",,4,2,1,0,2,1,2,0,0,2,1334310,71,100220,188.5,9600,3632,640,5408,320,71448.6,40,52357252
22/080,2022-10-15,18,21,25,28,38,44,45,38,,2,4,0,1,3,1,1,0,0,1.5,1390910,76.5,72720,139.5,9600,3631,640,4014.7,320,69758.6,40,42634934
22/079,2022-10-13,1,10,14,38,47,48,40,"1,10,47",,2,4,2,1,0,1,2,0,0,0.5,2035820,59,92010,105.5,9600,3009.5,640,3439.5,320,59476.2,40,39505659
22/078,2022-10-11,1,5,10,25,36,47,23,,,4,2,3,0,1,1,1,0,0,0.5,1587880,76,55710,179.5,9600,3650.5,640,4887.6,320,67591.1,40,36963014
22/077,2022-10-08,7,11,28,31,43,48,42,"11,28,31",,4,2,1,1,1,1,2,1,10556950,1.5,1184340,71.5,66250,121,9600,3158,640,3534.2,320,61313.6,40,36631394
22/076,2022-10-06,4,11,21,28,31,47,5,,,4,2,1,1,2,1,1,0.5,10454840,1.5,1052120,98.5,42720,201.5,9600,4051.1,640,5631,320,66723.6,40,38073758
22/075,2022-10-04,7,8,12,13,26,43,3,7,,3,3,2,2,1,0,1,0.5,11440530,2.5,458730,99,30890,389,9600,5097.3,640,9577.3,320,81246.3,40,38897182
